Time,T1Mesure,T2Mesure,T3Mesure,PerturbationCourant,T3Estimation,Consigne
735.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1236585965821,25
736.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.12290891391,25
736.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1221833879121,25
737.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1214812101584,25
737.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1208015997569,25
738.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1201438024086,25
738.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1195070894941,25
739.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1188907571922,25
739.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.118294125629,25
740.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1177165380558,25
740.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1171573600557,25
741.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1166159787776,25
741.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1160918021962,25
742.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1155842583977,25
742.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1150927948903,25
743.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1146168779381,25
743.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1141559919183,25
744.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1137096386998,25
744.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1132773370443,25
745.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1128586220272,25
745.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1124530444784,25
746.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1120601704432,25
746.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1116795806605,25
747.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1113108700603,25
747.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1109536472773,25
748.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1106075341819,25
748.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1102721654274,25
749.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1099471880123,25
749.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1096322608582,25
750.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1093270544017,25
750.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1090312502009,25
751.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1087445405548,25
751.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1084666281362,25
752.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1081972256374,25
752.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1079360554277,25
753.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1076828492224,25
753.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1074373477644,25
754.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1071993005152,25
754.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1069684653574,25
755.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1067446083077,25
755.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1065275032388,25
756.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1063169316116,25
756.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1061126822166,25
757.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1059145509237,25
757.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.105722340441,25
758.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1055358600815,25
758.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1053549255386,25
759.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1051793586684,25
759.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1050089872797,25
760.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1048436449318,25
760.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1046831707387,25
761.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1045274091796,25
761.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1043762099173,25
762.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1042294276212,25
762.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1040869217976,25
763.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1039485566249,25
763.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1038142007956,25
764.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1036837273622,25
764.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1035570135898,25
765.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1034339408129,25
765.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1033143942976,25
766.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1031982631078,25
766.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.103085439977,25
767.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1029758211838,25
767.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1028693064317,25
768.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1027657987331,25
768.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1026652042977,25
769.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1025674324239,25
769.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1024723953947,25
