temps,T3,T2,T1
120,26.802799,27.79401918,30.20561655
120.5,26.81546704,27.80661222,30.21905376
121,26.82808297,27.81915006,30.23241095
121.5,26.84064697,27.83163293,30.2456886
122,26.85315917,27.84406108,30.25888717
122.5,26.86561975,27.85643474,30.27200715
123,26.87802886,27.86875416,30.28504899
123.5,26.89038666,27.88101956,30.29801317
124,26.90269331,27.8932312,30.31090014
124.5,26.91494897,27.9053893,30.32371037
125,26.92715381,27.9174941,30.33644431
125.5,26.93930799,27.92954583,30.34910242
126,26.95141167,27.94154472,30.36168514
126.5,26.96346501,27.95349102,30.37419294
127,26.97546819,27.96538494,30.38662624
127.5,26.98742135,27.97722671,30.39898551
128,26.99932468,27.98901658,30.41127117
128.5,27.01117833,28.00075475,30.42348367
129,27.02298247,28.01244147,30.43562344
129.5,27.03473727,28.02407695,30.44769091
130,27.0464429,28.03566142,30.45968653
130.5,27.05809951,28.0471951,30.4716107
131,27.06970728,28.05867822,30.48346387
131.5,27.08126638,28.070111,30.49524644
132,27.09277698,28.08149366,30.50695885
132.5,27.10423923,28.09282641,30.51860151
133,27.11565332,28.10410948,30.53017484
133.5,27.12701941,28.11534309,30.54167924
134,27.13833767,28.12652745,30.55311513
134.5,27.14960826,28.13766277,30.56448292
135,27.16083136,28.14874928,30.57578301
135.5,27.17200713,28.15978718,30.58701581
136,27.18313575,28.1707767,30.59818172
136.5,27.19421739,28.18171803,30.60928112
137,27.20525221,28.1926114,30.62031443
137.5,27.21624038,28.20345701,30.63128204
138,27.22718207,28.21425508,30.64218433
138.5,27.23807746,28.2250058,30.65302169
139,27.24892671,28.23570939,30.66379452
139.5,27.25972998,28.24636606,30.67450319
140,27.27048746,28.25697601,30.68514809
140.5,27.28119931,28.26753945,30.6957296
141,27.2918657,28.27805657,30.70624809
141.5,27.3024868,28.28852759,30.71670394
142,27.31306277,28.2989527,30.72709753
142.5,27.32359379,28.30933211,30.73742922
143,27.33408003,28.31966601,30.74769938
143.5,27.34452165,28.32995461,30.75790838
144,27.35491882,28.34019811,30.76805659
144.5,27.36527172,28.35039669,30.77814436
145,27.3755805,28.36055057,30.78817205
145.5,27.38584534,28.37065993,30.79814003
146,27.3960664,28.38072497,30.80804865
146.5,27.40624386,28.39074589,30.81789826
147,27.41637788,28.40072287,30.82768921
147.5,27.42646862,28.41065612,30.83742186
148,27.43651626,28.42054581,30.84709654
148.5,27.44652096,28.43039215,30.85671361
149,27.45648289,28.44019533,30.86627341
149.5,27.46640221,28.44995552,30.87577628
150,27.47627909,28.45967293,30.88522256
150.5,27.4861137,28.46934773,30.89461259
151,27.4959062,28.47898013,30.90394669
151.5,27.50565675,28.48857029,30.91322521
152,27.51536552,28.49811841,30.92244847
152.5,27.52503268,28.50762466,30.93161681
153,27.53465838,28.51708925,30.94073054
