Temps (s),T1 (°C),T2 (°C),T3 (°C)
Temps (s), T1 (°C), T2 (°C), T3 (°C)
569,27.02,27.55,26.79
570,27.04,27.55,26.79
571,27.02,27.55,26.79
572,27.02,27.57,26.81
573,27.04,27.57,26.75
574,27.02,27.57,26.79
575,27.00,27.59,26.81
576,27.04,27.57,26.79
577,27.04,27.57,26.79
578,27.04,27.57,26.79
579,27.02,27.57,26.77
580,27.04,27.57,26.79
581,27.02,27.59,26.81
582,27.06,27.63,26.81
583,27.06,27.59,26.81
584,27.04,27.61,26.81
585,27.08,27.61,26.79
586,27.06,27.59,26.81
587,27.06,27.61,26.81
588,27.08,27.61,26.81
589,27.06,27.61,26.79
590,27.08,27.61,26.81
591,27.08,27.59,26.79
592,27.04,27.59,26.81
593,27.06,27.59,26.81
594,27.06,27.59,26.81
595,27.04,27.61,26.81
596,27.02,27.61,26.81
597,27.06,27.59,26.81
598,27.02,27.59,26.81
599,27.02,27.61,26.81
600,27.00,27.59,26.79
601,27.00,27.59,26.79
602,27.00,27.61,26.77
603,27.00,27.59,26.79
604,27.00,27.61,26.81
605,27.02,27.61,26.79
606,27.02,27.61,26.83
607,27.02,27.61,26.79
608,27.02,27.59,26.81
609,27.00,27.61,26.81
610,27.00,27.61,26.81
611,27.02,27.61,26.83
612,27.04,27.59,26.79
613,27.04,27.59,26.81
614,27.02,27.59,26.83
615,27.04,27.59,26.81
616,27.04,27.63,26.81
617,27.04,27.61,26.83
618,27.06,27.61,26.81
619,27.04,27.59,26.83
620,27.02,27.59,26.77
621,27.00,27.59,26.81
622,27.04,27.57,26.81
623,27.04,27.57,26.81
624,27.06,27.59,26.79
625,27.06,27.55,26.81
626,27.08,27.59,26.81
627,27.06,27.57,26.81
628,27.08,27.61,26.81
629,27.10,27.57,26.81
630,27.08,27.59,26.81
631,27.10,27.59,26.81
632,27.08,27.61,26.79
633,27.08,27.61,26.83
634,27.08,27.61,26.79
635,27.10,27.61,26.81
636,27.10,27.61,26.83
637,27.08,27.61,26.83
638,27.10,27.63,26.83
639,27.10,27.57,26.81
640,27.08,27.59,26.81
641,27.10,27.57,26.79
642,27.08,27.63,26.81
643,27.10,27.59,26.81
644,27.10,27.59,26.81
645,27.10,27.61,26.81
646,27.10,27.65,26.81
647,27.12,27.57,26.79
648,27.08,27.61,26.79
649,27.08,27.61,26.81
650,27.06,27.59,26.79
