Time,T1Mesure,T2Mesure,T3Mesure,TECEntr_e_SortieAmpli,T1Vmesure_0_5V_,T2Vmesure_0_5V_,T3Vmesure_0_5V_,R_gulateurSortie,PerturbationCourant,T3Estimation,AmpliEntr_e,R_gulateurEntr_e,Consigne,T1Perturbation,T2Perturbation,T3Perturbation,PWM_DACSortie,TECSortie,T1R_sistance,T2R_sistance,T3R_sistance
204.5,18.5308222195507,19.6036601790476,20.033041229717,-0.153336149249158,3.31886109170622,3.12434147126231,3.04314060620995,-0.488146224205423,0,19.9839797990677,2.02082453359638,0.00693500315872342,20,0,0,0,5,-0.483990221490044,13317.801153763,12693.9553477623,12443.3019134413
205,18.5308222195507,19.6036601790476,20.033041229717,-0.153981492207815,3.3187764976573,3.12429164326523,3.0430107252476,-0.488146224205423,0,19.9852600420583,2.01880783685058,0.00693500315872342,20,0,0,0,5,-0.486027182004748,13317.5223967098,12693.7998203659,12442.9054278723
205.5,18.5308222195507,19.6036601790476,20.033041229717,-0.154522998991472,3.31869241579946,3.12424811100665,3.04288471919757,-0.488146224205423,0,19.9865043772205,2.01711562815165,0.00693500315872342,20,0,0,0,5,-0.487736394016682,13317.2453340496,12693.6639455104,12442.520784575
206,18.5308222195507,19.6036601790476,20.033041229717,-0.154757419407241,3.31860884016595,3.12421047823225,3.04276249938032,-0.489947841917058,0,19.987713922541,2.01638306435237,0.00491443098358673,20,0,0,0,5,-0.488476318617015,13316.9699460013,12693.5464857032,12442.1477116446
206.5,18.5308222195507,19.6036601790476,20.033041229717,-0.154561171149143,3.31852576266049,3.12417837278785,3.04264397906029,-0.489947841917058,0,19.988889759142,2.01699634015893,0.00491443098358673,20,0,0,0,0,-0.487856880615154,13316.6962057695,12693.446278817,12441.7859431828
207,18.5308222195507,19.6036601790476,20.033041229717,-0.154075870086971,3.31844317502307,3.12415144515722,3.04252907340365,-0.489947841917058,0,19.9900329325308,2.01851290597822,0.00491443098358673,20,0,0,0,0,-0.486325076342515,13316.4240860227,12693.3622335045,12441.4352191642
207.5,18.5308222195507,19.6036601790476,20.033041229717,-0.153502538631866,3.31836107172367,3.12412936708858,3.04241769943708,-0.489947841917058,0,19.991144453807,2.02030456677542,0.00491443098358673,20,0,0,0,0,-0.484515412937622,13316.1535684271,12693.2933248917,12441.0952853078
208,18.5308222195507,19.6036601790476,20.033041229717,-0.153008318080125,3.3182794498587,3.12411183030432,3.04230977600713,-0.491569363026315,0,19.992225300828,2.02184900599961,0.0031098796687985,20,0,0,0,0,-0.482955455188106,13315.8846433049,12693.2385905347,12440.7658929492
208.5,18.5308222195507,19.6036601790476,20.033041229717,-0.152730144263111,3.31819830873913,3.12409854528913,3.0422052237408,-0.491569363026315,0,19.9932764193344,2.02271829917778,0.0031098796687985,20,0,0,0,0,-0.482077427352084,13315.6173082762,12693.1971266225,12440.4467989171
209,18.5308222195507,19.6036601790476,20.033041229717,-0.152777700496574,3.31811764959205,3.12408924015158,3.04210396500678,-0.491569363026315,0,19.9942987240368,2.02256968594821,0.0031098796687985,20,0,0,0,0,-0.482227533847385,13315.3515672743,12693.168084412,12440.1377654121
209.5,18.5308222195507,19.6036601790476,20.033041229717,-0.153215541304065,3.31803747351726,3.12408365955503,3.04200592387764,-0.491569363026315,0,19.9952930996656,2.0212014334248,0.0031098796687985,20,0,0,0,5,-0.48360953457215,13315.0874238139,12693.1506668803,12439.8385598882
210,18.5308222195507,19.6036601790476,20.0598853463183,-0.15385348545868,3.31795778230767,3.12408156371268,3.04191102609268,-0.493033286707487,0,19.9962604019846,2.01920785794162,0.00149583920617715,20,0,0,0,5,-0.485623141501778,13314.8248836931,12693.1441255793,12439.5489549369
210.5,18.5308222195507,19.6036601790476,20.0598853463183,-0.154433353176853,3.31787857431459,3.12408272744423,3.0418191990217,-0.493033286707487,0,19.9972014587695,2.01739577132233,0.00149583920617715,20,0,0,0,5,-0.487453435967418,13314.5639413725,12693.1477576833,12439.2687281737
211,18.5308222195507,19.6036601790476,20.0598853463183,-0.154743505427501,3.3177998443362,3.12408693928955,3.04173037162956,-0.493033286707487,0,19.9981170707537,2.01642654553906,0.00149583920617715,20,0,0,0,5,-0.488432400531365,13314.3045796087,12693.1609032164,12438.9976621279
211.5,18.5308222195507,19.6036601790476,20.0598853463183,-0.154630626295665,3.31772158473934,3.124094000676,3.04164447444148,-0.493033286707487,0,19.9990080125408,2.01677929282605,0.00149583920617715,20,0,0,0,0,-0.488076108839637,13314.0467731511,12693.1829424477,12438.7355441334
212,18.5308222195507,19.6036601790476,20.0598853463183,-0.154185891046902,3.31764378722198,3.12410372513644,3.04156143950906,-0.494359207413538,0,19.9998750334865,2.01816909047843,4.99866054127551e-05,20,0,0,0,0,-0.486672346500441,13313.7904945488,12693.2132934459,12438.482166224
212.5,18.5308222195507,19.6036601790476,20.0598853463183,-0.153615768800754,3.31756644581738,3.12411593757456,3.04148120037704,-0.494359207413538,0,20.0007188585495,2.01995072249764,4.99866054127551e-05,20,0,0,0,0,-0.4848728126427,13313.5357240462,12693.2514097823,12438.2373250287
213,18.5308222195507,19.6036601790476,20.0598853463183,-0.153093851093418,3.31748955730911,3.12413047357494,3.04140369205098,-0.494359207413538,0,20.0015401891144,2.02158171533307,4.99866054127551e-05,20,0,0,0,0,-0.483225431591264,13313.2824509499,12693.2967783741,12438.0008216714
213.5,18.5308222195507,19.6036601790476,20.0598853463183,-0.152762858690048,3.31741312076405,3.12414717875485,3.0413288509653,-0.494359207413538,0,20.0023397037852,2.0226160665936,4.99866054127551e-05,20,0,0,0,0,-0.482180687169269,13313.0306720887,12693.348917458,12437.7724616716
214,18.5308222195507,19.6036601790476,20.0598853463183,-0.152737719033716,3.31733713721717,3.12416590815547,3.04125661495238,-0.495564195111683,0,20.0031180591528,2.02269462801964,-0.00124722366111598,20,0,0,0,0,-0.482101336358021,13312.780390775,12693.4073746883,12437.552054848
214.5,18.5308222195507,19.6036601790476,20.0598853463183,-0.153102713773321,3.31726160821083,3.12418652567008,3.04118692321205,-0.495564195111683,0,20.0038758905349,2.02155401945837,-0.00124722366111598,20,0,0,0,5,-0.48325340575411,13312.5316119928,12693.47172535,12437.3394152234
215,18.5308222195507,19.6036601790476,20.0598853463183,-0.15372301202653,3.31718653552297,3.12420890350673,3.04111971628189,-0.495564195111683,0,20.0046138126919,2.01961558741709,-0.00124722366111598,20,0,0,0,5,-0.48521131516054,13312.284341502,12693.54157068,12437.1343609331
