Time,T1Mesure,T2Mesure,T3Mesure,TECEntr_e_SortieAmpli,R_gulateurSortie,PerturbationCourant,T3Estimation,AmpliEntr_e,R_gulateurEntr_e,Consigne,T1Perturbation,T2Perturbation,T3Perturbation,PWM_V_,TECSortie,T3Vmesure,T2Vmesure,T1Vmesure,T1R_sistance,T2R_sistance,T3R_sistance
34.1,19.2392155406765,21.4418945198066,22.385595684958,-0.410541887124997,-1.33925372713047,0,22.6098263264562,1.21705660273438,-1.04393053058247,20,0,0,0,0,-1.29583441252134,2.28196480110499,2.452317426901,2.85470533909244,12880.5537457868,11671.3130926417,11197.0433671308
34.15,19.2392155406765,21.4418945198066,22.385595684958,-0.411560294497101,-1.33925372713047,0,22.6098263264562,1.21387407969656,-1.04393053058247,20,0,0,0,5,-1.29904891355065,2.28610255085494,2.45667204268624,2.85931305296569,12883.6043507133,11673.3291884323,11198.3815383046
34.2,19.2392155406765,21.4418945198066,22.385595684958,-0.410484238149827,-1.33925372713047,0,22.6098263264562,1.21723675578179,-1.04393053058247,20,0,0,0,0,-1.29565244929611,2.28095297476828,2.45173873394013,2.85463277266861,12886.6540996648,11675.3443601722,11199.7202663643
34.25,19.2392155406765,21.4418945198066,22.385595684958,-0.411628052232124,-1.33925372713047,0,22.6098263264562,1.21366233677461,-1.04393053058247,20,0,0,0,5,-1.29926278406548,2.28174109159587,2.45274252137264,2.85588942679884,12889.7027027098,11677.3586104434,11201.0595492151
34.3,19.2392155406765,21.4418945198066,22.385595684958,-0.410431140317465,-1.33925372713047,0,22.6098263264562,1.21740268650792,-1.04393053058247,20,0,0,0,0,-1.29548485129805,2.28341130269276,2.45462780829286,2.85802750314244,12892.7504304926,11679.3719418263,11202.3993847708
34.35,19.2392155406765,21.4418945198066,22.385595684958,-0.411681655164264,-1.33925372713047,0,22.6098263264562,1.21349482761168,-1.04393053058247,20,0,0,0,5,-1.29943197636048,2.28302656981882,2.45445755840293,2.85810988553506,12895.797031779,11681.3843568713,11203.7397709454
34.4,19.2392155406765,21.4418945198066,22.385595684958,-0.410385359839349,-1.33925372713047,0,22.6098263264562,1.21754575050203,-1.04393053058247,20,0,0,0,0,-1.29534034979692,2.28409938437038,2.45574426503682,2.85964913894802,12898.8427365327,11683.3958581286,11205.0807056619
34.45,19.2392155406765,21.4418945198066,22.385595684958,-0.411719325164029,-1.33925372713047,0,22.6098263264562,1.21337710886241,-1.04393053058247,20,0,0,0,0,-1.29955087794774,2.28794003424648,2.45979821801923,2.86395548699971,12901.8873367535,11685.4064481175,11206.4221868431
34.5,19.2123936150191,21.4418945198066,22.4126033591664,-0.410345752636551,-1.33925372713047,0,22.5804043343938,1.21766952301078,-1.04393053058247,20,0,0,0,0,-1.29521533362201,2.28495370267959,2.45702460250399,2.86143417229195,12904.9310173916,11687.4161293584,11207.7642124209
34.55,19.2123936150191,21.4418945198066,22.4126033591664,-0.411741063168466,-1.33925372713047,0,22.5804043343938,1.21330917759854,-1.04393053058247,20,0,0,0,0,-1.29961949178495,2.28753623583129,2.45981926656196,2.86448099120867,12907.9736164584,11689.4249043399,11209.1067803267
34.6,19.2123936150191,21.4418945198066,22.4126033591664,-0.410313100759095,-1.33925372713047,0,22.5804043343938,1.21777156012783,-1.04393053058247,20,0,0,0,0,-1.29511227123601,2.28913540919217,2.46162998758893,2.86654376382134,12911.0152719895,11691.4327755526,11210.4498885016
34.65,19.2123936150191,21.4418945198066,22.4126033591664,-0.411748227325979,-1.33925372713047,0,22.5804043343938,1.21328678960632,-1.04393053058247,20,0,0,0,0,-1.29964210473172,2.27556883713732,2.44827438185308,2.85344006976272,12914.0558697505,11693.4397454553,11211.7935348858
34.7,19.2123936150191,21.4418945198066,22.4126033591664,-0.410287793621503,-1.33925372713047,0,22.5804043343938,1.2178506449328,-1.04393053058247,20,0,0,0,0,-1.29503239178691,2.28723428209256,2.46015021366943,2.86556770081441,12917.0954994225,11695.4458165088,11213.137717429
34.75,19.2123936150191,21.4418945198066,22.4126033591664,-0.411742434177056,-1.33925372713047,0,22.5804043343938,1.2133048931967,-1.04393053058247,20,0,0,0,0,-1.29962381923646,2.2889609740271,2.46208671488428,2.86775586748794,12920.1340953697,11697.4509911425,11214.4824340802
34.8,19.2123936150191,21.4418945198066,22.4126033591664,-0.410270194348641,-1.33925372713047,0,22.5804043343938,1.2179056426605,-1.04393053058247,20,0,0,0,0,-1.29497684144205,2.29757476674654,2.4709097411765,2.87683043769759,12923.1716987977,11699.4552717877,11215.827682798
34.85,19.2123936150191,21.4418945198066,22.4126033591664,-0.411724374735793,-1.33925372713047,0,22.5804043343938,1.21336132895065,-1.04393053058247,20,0,0,0,0,-1.29956681641606,2.29119004850155,2.46473368265818,2.87090579540747,12926.208292359,11701.4586608449,11217.1734615401
