Temps (s),T1 (°C),T2 (°C),T3 (°C),T4 (°C)
Temps (s), T1 (°C), T2 (°C), T3 (°C), T4 (°C)
661,10.76,14.22,15.30,25.13
662,10.67,14.22,15.21,25.13
663,10.76,14.22,15.21,25.13
664,10.67,14.22,15.21,25.22
665,10.67,14.22,15.21,25.13
666,10.76,14.22,15.21,25.13
667,10.67,14.22,15.21,25.22
668,10.76,14.22,15.21,25.22
669,10.67,14.31,15.12,25.22
670,10.76,14.22,15.21,25.13
671,10.76,14.22,15.12,25.13
672,10.67,14.22,15.12,25.13
673,10.76,14.22,15.12,25.13
674,10.67,14.22,15.12,25.13
675,10.67,14.22,15.03,25.13
676,10.67,14.22,15.03,25.22
677,10.76,14.13,15.12,25.13
678,10.67,14.22,15.03,25.13
679,10.67,14.22,15.03,25.13
680,10.67,14.22,15.03,25.13
681,10.67,14.13,15.03,25.13
682,10.67,14.22,15.03,25.22
683,10.67,14.22,15.03,25.13
684,10.67,14.22,15.03,25.22
685,10.76,14.13,15.03,25.13
686,10.67,14.22,15.03,25.13
687,10.76,14.13,15.03,25.22
688,10.67,14.22,15.03,25.22
689,10.67,14.22,15.03,25.13
690,10.76,14.22,15.12,25.13
691,10.76,14.22,15.12,25.13
692,10.67,14.13,15.03,25.13
693,10.67,14.13,15.03,25.13
694,10.67,14.13,15.03,25.13
695,10.67,14.13,15.03,25.13
696,10.67,14.13,15.12,25.13
697,10.67,14.13,15.12,25.13
698,10.67,14.13,15.12,25.22
699,10.67,14.13,15.03,25.13
700,10.67,14.22,15.03,25.13
701,10.67,14.13,15.03,25.13
702,10.57,14.13,15.03,25.13
703,10.67,14.13,15.03,25.13
704,10.67,14.22,15.03,25.13
705,10.57,14.13,15.03,25.13
706,10.57,14.13,15.03,25.22
707,10.57,14.13,15.03,25.13
708,10.67,14.13,15.03,25.13
709,10.57,14.13,15.03,25.13
710,10.67,14.13,15.03,25.13
711,10.67,14.13,15.03,25.13
712,10.76,14.13,15.03,25.13
713,10.76,14.13,15.03,25.13
714,10.76,14.22,15.12,25.22
715,10.76,14.13,15.03,25.13
716,10.76,14.13,15.03,25.13
717,10.76,14.22,15.03,25.13
