Time,T1Mesure,T2Mesure,T3Mesure,PWMDutycycle,TECEntr_e_SortieAmpli,R_gulateurSortie,PerturbationCourant,T3Estimation,AmpliEntr_e,R_gulateurEntr_e,Consigne,T1Perturbation,T2Perturbation,T3Perturbation,PWMSortie,TECSortie,T3Vmesure,T2Vmesure,T1Vmesure,T1R_sistance,T2R_sistance,T3R_sistance
1517.9,17.8714272508065,19.5342900728234,19.963637697384,104,-0.147590815511766,-0.480669573230045,0,20.1620423082351,2.03877870152573,-0.0637083561883443,20,0,0,0,0,-0.465855650081338,2.72859723299632,2.80375042479397,3.10714995725042,13674.6771169628,12687.04989076,12455.0141711418
1517.95,17.8714272508065,19.5342900728234,19.963637697384,104,-0.147311807365138,-0.480669573230045,0,20.1620423082351,2.03965060198394,-0.0637083561883443,20,0,0,0,5,-0.464974988767321,2.72527731247379,2.80043617314641,3.10376780836429,13674.4231406542,12687.0284591944,12454.975852112
1518,17.9250763906111,19.5879477359044,19.9904792989936,104,-0.147474144276856,-0.482034751942649,0,20.1613696815132,2.03914329913483,-0.0645478726052957,20,0,0,0,0,-0.465487388995468,2.7213340524205,2.79649858077008,3.09976241570521,13674.1695159932,12687.0070431546,12454.9375520441
1518.05,17.9250763906111,19.5879477359044,19.9904792989936,104,-0.147442885122928,-0.482034751942649,0,20.1613696815132,2.03924098399085,-0.0645478726052957,20,0,0,0,5,-0.465388722602011,2.72437091066157,2.79954110546407,3.10273710572527,13673.9157967064,12686.9856425438,12454.8992709227
1518.1,17.9250763906111,19.5879477359044,19.9904792989936,104,-0.147358058668865,-0.482034751942649,0,20.1613696815132,2.0395060666598,-0.0645478726052957,20,0,0,0,0,-0.465120976382404,2.70975250042025,2.78492836042643,3.08805662339488,13673.6624302786,12686.9642572678,12454.8610087324
1518.15,17.9250763906111,19.5879477359044,19.9904792989936,104,-0.147573552703087,-0.482034751942649,0,20.1613696815132,2.03883264780285,-0.0645478726052957,20,0,0,0,5,-0.465801161752022,2.71287218733445,2.78805371126915,3.09111420267701,13673.4089694296,12686.9428872298,12454.8227654576
1518.2,17.9250763906111,19.5879477359044,19.9904792989936,104,-0.147243889661464,-0.482034751942649,0,20.1613696815132,2.03986284480793,-0.0645478726052957,20,0,0,0,0,-0.464760613327444,2.72317007445366,2.7983572610179,3.10135007767364,13673.1558592658,12686.9215323403,12454.7845410832
1518.25,17.9250763906111,19.5879477359044,19.9904792989936,104,-0.147701916499284,-0.482034751942649,0,20.1613696815132,2.03843151093974,-0.0645478726052957,20,0,0,0,5,-0.466206329238341,2.72221649417004,2.79740934203889,3.10033445079278,13672.9026582689,12686.9001925022,12454.7463355933
1518.3,17.9250763906111,19.5879477359044,19.9904792989936,104,-0.147132879406391,-0.482034751942649,0,20.1613696815132,2.04020975185503,-0.0645478726052957,20,0,0,0,0,-0.464410220558333,2.71712058878588,2.79231909661194,3.0951765927123,13672.6498024346,12686.8788676306,12454.7081489732
1518.35,17.9250763906111,19.5879477359044,19.9904792989936,104,-0.147826201583191,-0.482034751942649,0,20.1613696815132,2.03804312005253,-0.0645478726052957,20,0,0,0,5,-0.466598622677186,2.70558922836053,2.7807933947705,3.08358324716069,13672.3968626711,12686.8575576283,12454.6699812067
1518.4,17.9250763906111,19.5879477359044,19.9904792989936,104,-0.147026229756802,-0.482034751942649,0,20.1613696815132,2.04054303200999,-0.0645478726052957,20,0,0,0,0,-0.464073591604371,2.72167453919993,2.79688436279935,3.09960666420079,13672.1442592694,12686.8362624147,12454.6318322796
1518.45,17.9250763906111,19.5879477359044,19.9904792989936,104,-0.147944569331804,-0.482034751942649,0,20.1613696815132,2.03767322083811,-0.0645478726052957,20,0,0,0,5,-0.466972238638907,2.71347998824035,2.78869546760892,3.09135018999645,13671.8915820334,12686.8149818925,12454.5937021752
1518.5,17.9519001699094,19.6147775974212,20.0173218845233,104,-0.146925091922017,-0.482034751942649,0,20.1617617771577,2.0408590877437,-0.0645478726052957,20,0,0,0,0,-0.463754360142654,2.7160583417281,2.79127947542554,3.09386670808123,13671.639229265,12686.7937159854,12454.5555908799
1518.55,17.9519001699094,19.6147775974212,20.0173218845233,104,-0.148055370489282,-0.482034751942649,0,20.1617617771577,2.03732696722099,-0.0645478726052957,20,0,0,0,5,-0.467321971412371,2.71191018213647,2.78713696869674,3.0896566875134,13671.3868157713,12686.7724645958,12454.5174983766
1518.6,17.9519001699094,19.6147775974212,20.0173218845233,104,-0.146831913106779,-0.482034751942649,0,20.1617617771577,2.04115027154132,-0.0645478726052957,20,0,0,0,0,-0.463460250530238,2.71090447541089,2.78613691334924,3.08858920319758,13671.1347115556,12686.7512276518,12454.4794246519
1518.65,17.9519001699094,19.6147775974212,20.0173218845233,104,-0.14815699206764,-0.482034751942649,0,20.1617617771577,2.03700939978862,-0.0645478726052957,20,0,0,0,5,-0.4676427297623,2.71074631200719,2.7859843998131,3.08836924155142,13670.8825632844,12686.7300050557,12454.4413696887
1518.7,17.9519001699094,19.6147775974212,20.0173218845233,104,-0.146745323710001,-0.482034751942649,0,20.1617617771577,2.04142086340625,-0.0645478726052957,20,0,0,0,0,-0.463186939758248,2.7138026129095,2.78904634905491,3.09136382232262,13670.6307063225,12686.7087967393,12454.4033334738
1518.75,17.9519001699094,19.6147775974212,20.0173218845233,104,-0.148247890329384,-0.482034751942649,0,20.1617617771577,2.03672534272068,-0.0645478726052957,20,0,0,0,5,-0.467929641035667,2.71508210412113,2.7903314870524,3.09258157825837,13670.3788239647,12686.6876026053,12454.3653159899
1518.8,17.9519001699094,19.6147775974212,20.0173218845233,104,-0.146667201674756,-0.482034751942649,0,20.1617617771577,2.04166499476639,-0.0645478726052957,20,0,0,0,0,-0.462940355366199,2.71652518662018,2.79178021476708,3.09396299769738,13670.1272128409,12686.666422589,12454.3273172241
1518.85,17.9519001699094,19.6147775974212,20.0173218845233,104,-0.148326562188923,-0.482034751942649,0,20.1617617771577,2.03647949315962,-0.0645478726052957,20,0,0,0,5,-0.468177960893116,2.69742305732935,2.77268372909629,3.07479919635842,13669.8755971842,12686.6452565935,12454.289337159
1518.9,17.9519001699094,19.6147775974212,20.0173218845233,104,-0.146598614084798,-0.482034751942649,0,20.1617617771577,2.04187933098501,-0.0645478726052957,20,0,0,0,0,-0.462723865497257,2.72775638528051,2.80302269905634,3.10507091797009,13669.6242306108,12686.6241045573,12454.2513757817
1518.95,17.9519001699094,19.6147775974212,20.0173218845233,104,-0.148391594943466,-0.482034751942649,0,20.1617617771577,2.03627626580167,-0.0645478726052957,20,0,0,0,5,-0.468383230279555,2.71330807380956,2.78858002795793,3.09056099790415,13669.3728823212,12686.6029663842,12454.2134330748
1519,17.9250763906111,19.5879477359044,19.9904792989936,104,-0.146540794560771,-0.482034751942649,0,20.1626707780178,2.04206001699759,-0.0645478726052957,20,0,0,0,0,-0.462541363951618,2.72230543687833,2.79758302974824,3.09949681102569,13669.1217590864,12686.5818420157,12454.1755090257
1519.05,17.9250763906111,19.5879477359044,19.9904792989936,104,-0.148441615955248,-0.482034751942649,0,20.1626707780178,2.03611995013985,-0.0645478726052957,20,0,0,0,5,-0.468541116601143,2.71314797525098,2.78843120516654,3.09027780445261,13668.8706787307,12686.5607313562,12454.1376036168
1519.1,17.9250763906111,19.5879477359044,19.9904792989936,104,-0.14649420004908,-0.482034751942649,0,20.1626707780178,2.04220562484662,-0.0645478726052957,20,0,0,0,0,-0.462394293034917,2.70619358906239,2.78148245433382,3.08326192447024,13668.6197979268,12686.53963435,12454.0997168357
