temps,T1,T2,T3
357.5,26.62967585,26.66404765,25.99533249
358,26.63183822,26.66659861,25.99791172
358.5,26.63399209,26.66914072,26.00048202
359,26.63613751,26.67167403,26.00304341
359.5,26.63827449,26.67419855,26.00559594
360,26.64040307,26.67671433,26.00813963
360.5,26.64252329,26.67922138,26.01067452
361,26.64463518,26.68171975,26.01320062
361.5,26.64673877,26.68420945,26.01571798
362,26.6488341,26.68669052,26.01822663
362.5,26.65092119,26.689163,26.02072658
363,26.65300009,26.6916269,26.02321788
363.5,26.65507081,26.69408226,26.02570056
364,26.6571334,26.69652912,26.02817463
364.5,26.65918788,26.69896749,26.03064014
365,26.66123429,26.70139741,26.03309712
365.5,26.66327266,26.70381891,26.03554558
366,26.66530302,26.70623201,26.03798557
366.5,26.6673254,26.70863675,26.0404171
367,26.66933984,26.71103315,26.04284022
367.5,26.67134636,26.71342125,26.04525495
368,26.673345,26.71580107,26.04766131
368.5,26.67533578,26.71817264,26.05005934
369,26.67731874,26.72053599,26.05244907
369.5,26.67929391,26.72289115,26.05483052
370,26.68126132,26.72523815,26.05720373
370.5,26.683221,26.72757701,26.05956872
371,26.68517297,26.72990776,26.06192551
371.5,26.68711728,26.73223043,26.06427415
372,26.68905395,26.73454506,26.06661465
372.5,26.69098301,26.73685166,26.06894705
373,26.69290449,26.73915026,26.07127137
373.5,26.69481842,26.7414409,26.07358764
374,26.69672483,26.7437236,26.07589589
374.5,26.69862374,26.74599839,26.07819615
375,26.7005152,26.74826529,26.08048844
375.5,26.70239922,26.75052433,26.08277279
376,26.70427585,26.75277554,26.08504923
376.5,26.70614509,26.75501895,26.08731779
377,26.708007,26.75725459,26.08957849
377.5,26.70986158,26.75948247,26.09183136
378,26.71170888,26.76170263,26.09407643
378.5,26.71354892,26.7639151,26.09631373
379,26.71538174,26.7661199,26.09854328
379.5,26.71720735,26.76831706,26.1007651
380,26.71902578,26.7705066,26.10297924
380.5,26.72083707,26.77268855,26.1051857
381,26.72264125,26.77486293,26.10738452
381.5,26.72443833,26.77702978,26.10957573
382,26.72622836,26.77918912,26.11175935
382.5,26.72801135,26.78134098,26.1139354
383,26.72978733,26.78348538,26.11610392
383.5,26.73155634,26.78562234,26.11826493
384,26.73331839,26.7877519,26.12041846
384.5,26.73507352,26.78987407,26.12256452
385,26.73682176,26.79198889,26.12470316
385.5,26.73856313,26.79409638,26.12683439
386,26.74029765,26.79619656,26.12895823
386.5,26.74202536,26.79828947,26.13107473
387,26.74374628,26.80037512,26.13318389
387.5,26.74546044,26.80245354,26.13528574
388,26.74716786,26.80452475,26.13738032
388.5,26.74886857,26.80658879,26.13946764
389,26.7505626,26.80864567,26.14154774
389.5,26.75224998,26.81069543,26.14362063
390,26.75393072,26.81273807,26.14568634
390.5,26.75560486,26.81477364,26.14774489
391,26.75727242,26.81680215,26.14979632
391.5,26.75893343,26.81882364,26.15184064
392,26.76058792,26.82083811,26.15387788
392.5,26.7622359,26.8228456,26.15590807
393,26.76387741,26.82484613,26.15793122
393.5,26.76551246,26.82683973,26.15994737
394,26.7671411,26.82882642,26.16195653
394.5,26.76876333,26.83080622,26.16395874
395,26.77037919,26.83277916,26.16595401
395.5,26.7719887,26.83474527,26.16794237
