Temps (s),T1 (°C),T2 (°C),T3 (°C),T4 (°C)
Temps (s), T1 (°C), T2 (°C), T3 (°C), T4 (°C)
616,6.99,11.59,12.96,26.86
617,7.09,11.49,12.96,26.86
618,7.18,11.59,12.96,26.95
619,7.09,11.49,12.96,26.86
620,7.09,11.49,12.96,26.95
621,7.09,11.49,12.96,26.86
622,6.99,11.49,12.96,26.86
623,6.99,11.49,12.86,26.95
624,6.90,11.49,12.86,26.86
625,6.99,11.49,12.86,26.86
626,6.99,11.49,12.86,26.95
627,6.99,11.49,12.86,26.95
628,6.99,11.49,12.86,26.86
629,6.99,11.49,12.86,26.86
630,6.99,11.49,12.77,26.95
631,6.99,11.49,12.77,26.86
632,6.99,11.49,12.77,26.86
633,6.99,11.49,12.68,26.86
634,6.99,11.59,12.77,26.95
635,6.99,11.49,12.77,26.86
636,6.99,11.49,12.77,26.86
637,6.99,11.49,12.77,26.86
638,6.99,11.49,12.77,26.86
639,6.99,11.49,12.77,26.86
640,6.99,11.49,12.77,26.86
641,6.90,11.49,12.77,26.86
642,6.99,11.49,12.77,26.86
643,6.99,11.49,12.77,26.86
644,6.99,11.49,12.77,26.86
645,6.99,11.49,12.77,26.86
646,6.99,11.49,12.77,26.86
647,6.99,11.49,12.77,26.86
648,6.99,11.59,12.77,26.86
649,6.90,11.49,12.77,26.86
650,6.99,11.49,12.77,26.86
651,6.99,11.59,12.77,26.86
652,7.09,11.49,12.77,26.86
653,6.99,11.59,12.77,26.86
654,6.99,11.59,12.86,26.86
655,7.09,11.59,12.77,26.86
656,6.99,11.49,12.77,26.86
657,6.99,11.59,12.77,26.86
658,6.99,11.49,12.77,26.86
659,6.99,11.49,12.77,26.86
660,6.99,11.49,12.77,26.86
661,7.09,11.59,12.77,26.86
662,6.99,11.59,12.77,26.86
663,7.09,11.49,12.77,26.86
664,6.99,11.49,12.77,26.86
665,6.99,11.49,12.77,26.86
666,7.09,11.49,12.77,26.77
667,7.09,11.49,12.77,26.86
668,7.09,11.49,12.86,26.86
669,6.99,11.49,12.77,26.86
670,7.09,11.49,12.77,26.86
671,7.09,11.49,12.77,26.86
672,6.99,11.49,12.77,26.86
673,6.99,11.49,12.77,26.86
674,6.99,11.49,12.77,26.77
675,7.09,11.49,12.77,26.77
676,7.09,11.49,12.77,26.86
677,6.99,11.49,12.77,26.86
678,7.09,11.49,12.77,26.77
679,6.99,11.49,12.77,26.86
680,6.99,11.49,12.77,26.77
681,7.09,11.49,12.77,26.77
