Temps (s), T1 (°C), T2 (°C), T3 (°C),Ampérage (A)
708,16.02,18.16,18.87,-1.0
709,16.02,18.16,18.87,-1.0
710,16.02,18.16,18.87,-1.0
711,15.93,18.16,18.87,-1.0
712,16.02,18.16,18.87,-1.0
713,16.02,18.16,18.87,-1.0
714,16.02,18.16,18.87,-1.0
715,16.02,18.16,18.87,-1.0
716,16.02,18.16,18.87,-1.0
717,16.02,18.16,18.87,-1.0
718,16.02,18.16,18.87,-1.0
719,16.02,18.16,18.87,-1.0
720,16.02,18.16,18.87,-1.0
721,16.02,18.16,18.87,-1.0
722,16.11,18.16,18.87,-1.0
723,16.11,18.16,18.87,-1.0
724,16.11,18.16,18.87,-1.0
725,16.11,18.16,18.87,-1.0
726,16.2,18.16,18.87,-1.0
727,16.2,18.16,18.87,-1.0
728,16.2,18.16,18.87,-1.0
729,16.2,18.16,18.87,-1.0
730,16.2,18.16,18.87,-1.0
