Temps (s), T1 (°C), T2 (°C), T3 (°C),Ampérage (A)
601,22.26,22.97,22.97,-0.2
602,22.26,22.97,23.06,-0.2
603,22.26,22.97,23.06,-0.2
604,22.26,22.97,22.97,-0.2
605,22.26,22.97,23.06,-0.2
606,22.26,22.97,23.06,-0.2
607,22.26,22.97,22.97,-0.2
608,22.26,22.97,22.97,-0.2
609,22.26,22.97,22.97,-0.2
610,22.26,22.97,22.97,-0.2
611,22.26,22.97,23.06,-0.2
612,22.26,22.97,22.97,-0.2
613,22.26,22.97,23.06,-0.2
614,22.26,22.97,22.97,-0.2
615,22.26,22.97,22.97,-0.2
616,22.26,22.97,22.97,-0.2
617,22.26,22.97,22.97,-0.2
618,22.26,22.97,22.97,-0.2
619,22.26,22.97,22.97,-0.2
620,22.26,22.97,22.97,-0.2
621,22.26,22.97,22.97,-0.2
622,22.26,22.97,22.97,-0.2
623,22.26,22.97,22.97,-0.2
624,22.26,22.97,22.97,-0.2
625,22.26,22.97,22.97,-0.2
626,22.26,22.97,22.97,-0.2
627,22.26,22.97,22.97,-0.2
628,22.26,22.97,22.97,-0.2
629,22.26,22.97,22.97,-0.2
630,22.26,22.97,23.06,-0.2
631,22.26,22.97,22.97,-0.2
632,22.26,22.97,22.97,-0.2
633,22.26,22.97,22.97,-0.2
634,22.26,22.97,22.97,-0.2
635,22.26,22.97,22.97,-0.2
636,22.26,22.97,22.97,-0.2
637,22.26,22.97,22.97,-0.2
638,22.26,22.97,23.06,-0.2
639,22.26,22.97,22.97,-0.2
640,22.26,22.97,22.97,-0.2
641,22.26,22.97,22.97,-0.2
642,22.26,22.97,22.97,-0.2
643,22.26,22.97,22.97,-0.2
644,22.26,22.97,22.97,-0.2
645,22.26,22.97,22.97,-0.2
646,22.26,22.97,22.97,-0.2
647,22.26,22.97,22.97,-0.2
648,22.26,22.97,22.97,-0.2
649,22.26,22.97,22.97,-0.2
650,22.26,22.97,22.97,-0.2
651,22.26,22.97,22.97,-0.2
652,22.26,22.97,22.97,-0.2
653,22.26,22.97,22.97,-0.2
654,22.26,22.97,22.97,-0.2
655,22.26,22.97,22.97,-0.2
656,22.26,22.97,22.97,-0.2
657,22.26,22.97,22.97,-0.2
658,22.26,22.97,22.97,-0.2
659,22.26,22.97,22.97,-0.2
660,22.26,22.97,22.97,-0.2
661,22.26,22.97,22.97,-0.2
662,22.26,22.97,22.97,-0.2
663,22.26,22.97,22.97,-0.2
664,22.26,22.97,22.97,-0.2
665,22.26,22.97,22.97,-0.2
666,22.26,22.97,22.97,-0.2
667,22.26,22.97,22.97,-0.2
668,22.26,22.97,22.97,-0.2
669,22.17,22.97,22.97,-0.2
670,22.26,22.88,22.97,-0.2
671,22.26,22.97,22.97,-0.2
672,22.26,22.97,22.97,-0.2
673,22.26,22.97,22.97,-0.2
674,22.26,22.97,22.97,-0.2
675,22.26,22.88,22.97,-0.2
676,22.26,22.88,22.97,-0.2
677,22.26,22.88,22.97,-0.2
678,22.26,22.88,22.97,-0.2
679,22.26,22.88,22.97,-0.2
680,22.26,22.97,22.97,-0.2
681,22.26,22.88,22.97,-0.2
682,22.26,22.97,22.97,-0.2
683,22.17,22.97,22.97,-0.2
684,22.17,22.88,22.97,-0.2
685,22.17,22.88,22.97,-0.2
686,22.17,22.97,22.97,-0.2
687,22.17,22.97,22.97,-0.2
688,22.17,22.97,22.97,-0.2
689,22.26,22.88,22.97,-0.2
690,22.17,22.88,22.97,-0.2
691,22.26,22.97,22.97,-0.2
692,22.17,22.97,22.97,-0.2
693,22.26,22.97,22.97,-0.2
694,22.26,22.97,22.97,-0.2
695,22.17,22.97,22.97,-0.2
696,22.26,22.97,22.97,-0.2
697,22.26,22.88,22.97,-0.2
698,22.17,22.97,22.97,-0.2
699,22.26,22.97,22.97,-0.2
700,22.17,22.97,22.97,-0.2
701,22.26,22.88,22.97,-0.2
702,22.17,22.97,22.97,-0.2
703,22.17,22.88,22.97,-0.2
704,22.17,22.88,22.97,-0.2
705,22.17,22.88,22.97,-0.2
706,22.17,22.97,22.97,-0.2
707,22.17,22.88,22.97,-0.2
708,22.17,22.88,22.97,-0.2
709,22.26,22.88,22.97,-0.2
710,22.26,22.88,22.97,-0.2
711,22.26,22.88,22.97,-0.2
712,22.26,22.88,22.97,-0.2
713,22.26,22.88,22.97,-0.2
714,22.26,22.88,22.97,-0.2
715,22.26,22.88,22.97,-0.2
716,22.17,22.97,22.97,-0.2
717,22.26,22.88,22.97,-0.2
718,22.17,22.88,22.97,-0.2
719,22.26,22.97,22.97,-0.2
720,22.26,22.88,22.97,-0.2
721,22.17,22.88,22.97,-0.2
722,22.26,22.88,22.97,-0.2
723,22.26,22.88,22.97,-0.2
724,22.26,22.88,22.97,-0.2
725,22.26,22.88,22.97,-0.2
726,22.17,22.88,22.97,-0.2
727,22.17,22.97,22.97,-0.2
728,22.17,22.88,22.97,-0.2
729,22.26,22.88,22.97,-0.2
730,22.17,22.88,22.97,-0.2
731,22.17,22.88,22.97,-0.2
732,22.26,22.88,22.97,-0.2
