Temps (s),T1 (�C),T2 (�C),T3 (�C),T4 (�C)
Temps (s), T1 (�C), T2 (�C), T3 (�C), T4 (�C)
498,31.81,30.29,29.17,23.51
499,31.81,30.29,29.17,23.33
500,31.81,30.39,29.17,23.42
501,31.81,30.39,29.17,23.33
502,31.81,30.29,29.17,23.33
503,31.81,30.39,29.17,23.33
504,31.81,30.39,29.17,23.33
505,31.81,30.39,29.17,23.33
506,31.81,30.39,29.17,23.33
507,31.81,30.39,29.17,23.42
508,31.81,30.29,29.17,23.42
509,31.91,30.39,29.17,23.42
510,31.91,30.39,29.17,23.33
511,31.81,30.39,29.17,23.33
512,31.81,30.39,29.17,23.42
513,31.91,30.39,29.17,23.42
514,31.91,30.39,29.17,23.42
515,31.91,30.39,29.17,23.42
516,31.91,30.39,29.17,23.42
517,31.91,30.39,29.17,23.33
518,31.81,30.39,29.17,23.42
519,31.81,30.39,29.17,23.42
520,31.91,30.39,29.17,23.33
521,31.91,30.39,29.17,23.33
522,31.91,30.39,29.17,23.42
523,31.91,30.48,29.17,23.42
524,31.91,30.39,29.17,23.33
525,31.91,30.39,29.17,23.42
526,31.81,30.39,29.17,23.42
527,31.81,30.39,29.17,23.33
528,31.81,30.39,29.26,23.33
529,31.81,30.39,29.26,23.42
530,31.81,30.29,29.26,23.33
531,31.81,30.39,29.17,23.42
532,31.81,30.39,29.26,23.33
533,31.91,30.39,29.26,23.42
534,31.81,30.39,29.26,23.33
535,31.81,30.39,29.26,23.33
536,31.81,30.39,29.26,23.33
537,31.81,30.29,29.26,23.42
538,31.81,30.39,29.17,23.33
539,31.81,30.39,29.26,23.33
540,31.91,30.39,29.17,23.33
541,31.81,30.39,29.26,23.33
542,31.81,30.29,29.26,23.42
543,31.72,30.39,29.26,23.42
544,31.81,30.39,29.17,23.33
545,31.81,30.39,29.17,23.42
546,31.81,30.39,29.26,23.33
547,31.81,30.39,29.17,23.33
548,31.81,30.39,29.17,23.33
549,31.81,30.39,29.26,23.42
550,31.81,30.39,29.26,23.33
551,31.81,30.39,29.17,23.33
552,31.81,30.39,29.17,23.33
553,31.91,30.39,29.17,23.33
554,31.81,30.39,29.17,23.33
555,31.91,30.39,29.17,23.33
556,31.91,30.39,29.26,23.33
557,31.81,30.39,29.17,23.33
558,31.81,30.39,29.17,23.33
559,31.81,30.39,29.17,23.33
560,31.81,30.39,29.26,23.33
561,31.81,30.39,29.17,23.33
562,31.81,30.39,29.26,23.33
563,31.81,30.39,29.17,23.33
564,31.81,30.39,29.26,23.42
565,31.81,30.39,29.17,23.33
566,31.81,30.29,29.26,23.33
567,31.81,30.39,29.26,23.33
568,31.81,30.39,29.26,23.33
569,31.81,30.39,29.17,23.42
570,31.91,30.39,29.26,23.33
571,31.81,30.39,29.26,23.33
572,31.81,30.39,29.26,23.33
573,31.91,30.39,29.26,23.33
574,31.91,30.39,29.26,23.33
575,31.81,30.39,29.26,23.33
576,31.81,30.39,29.26,23.33
577,31.81,30.39,29.17,23.33
578,31.91,30.39,29.26,23.33
579,31.91,30.48,29.26,23.33
580,31.81,30.48,29.26,23.33
581,31.81,30.39,29.26,23.33
582,31.81,30.48,29.26,23.33
583,31.81,30.39,29.26,23.33
584,31.91,30.39,29.26,23.33
585,31.81,30.39,29.17,23.33
586,31.91,30.39,29.26,23.33
587,31.91,30.48,29.26,23.33
588,31.91,30.39,29.26,23.33
589,31.91,30.48,29.17,23.33
590,31.91,30.39,29.26,23.33
591,31.91,30.48,29.26,23.33
592,31.91,30.39,29.26,23.33
593,31.91,30.48,29.26,23.33
594,31.91,30.39,29.26,23.33
595,31.91,30.39,29.26,23.33
596,31.91,30.39,29.35,23.33
597,31.91,30.39,29.26,23.33
598,31.91,30.39,29.26,23.33
599,31.91,30.39,29.26,23.33
600,31.91,30.39,29.26,23.33
601,31.91,30.39,29.26,23.33
602,31.91,30.39,29.26,23.33
603,31.91,30.48,29.26,23.33
604,31.91,30.39,29.26,23.33
605,31.91,30.39,29.26,23.33
606,31.91,30.48,29.26,23.33
607,31.91,30.48,29.26,23.33
609,32.00,30.48,29.26,23.33
610,31.91,30.39,29.26,23.33
611,32.00,30.39,29.26,23.24
612,31.91,30.39,29.26,23.33
613,31.91,30.39,29.26,23.33
614,31.91,30.48,29.26,23.33
615,31.91,30.48,29.26,23.33
616,31.91,30.39,29.26,23.33
617,31.91,30.39,29.26,23.33
618,31.91,30.39,29.26,23.33
619,31.91,30.48,29.26,23.33
620,31.91,30.39,29.26,23.33
621,31.91,30.39,29.26,23.33
622,31.91,30.39,29.26,23.33
623,31.91,30.48,29.26,23.33
624,31.91,30.39,29.26,23.33
625,31.91,30.39,29.26,23.33
626,31.91,30.39,29.26,23.33
627,31.91,30.39,29.26,23.33
628,31.91,30.39,29.26,23.33
629,31.91,30.48,29.26,23.24
630,31.91,30.48,29.26,23.33
631,31.91,30.48,29.26,23.33
632,31.91,30.39,29.26,23.33
633,31.91,30.39,29.26,23.33
634,31.81,30.39,29.26,23.33
635,31.91,30.39,29.26,23.33
636,31.91,30.48,29.26,23.33
637,31.91,30.48,29.26,23.33
638,32.00,30.48,29.17,23.33
639,31.91,30.39,29.26,23.33
640,32.00,30.39,29.26,23.33
641,31.91,30.39,29.26,23.33
642,31.91,30.48,29.26,23.33
643,31.91,30.48,29.26,23.33
644,31.91,30.48,29.17,23.33
645,32.00,30.48,29.26,23.33
646,32.00,30.48,29.26,23.33
647,31.91,30.39,29.26,23.33
648,31.91,30.39,29.26,23.33
649,32.00,30.39,29.26,23.33
650,31.91,30.48,29.26,23.33
651,31.91,30.39,29.26,23.33
652,31.91,30.48,29.26,23.33
653,31.91,30.39,29.26,23.33
654,32.00,30.48,29.26,23.33
655,31.91,30.48,29.26,23.33
656,31.91,30.48,29.17,23.33
657,32.00,30.48,29.26,23.33
658,32.00,30.39,29.26,23.33
659,31.91,30.48,29.26,23.33
660,31.91,30.48,29.26,23.33
661,31.91,30.39,29.26,23.33
662,31.91,30.48,29.26,23.33
663,31.91,30.39,29.26,23.42
664,31.91,30.39,29.26,23.33
665,31.91,30.39,29.26,23.33
666,31.91,30.48,29.26,23.33
667,31.91,30.39,29.26,23.33
668,32.00,30.39,29.26,23.33
669,32.00,30.39,29.26,23.33
670,31.91,30.39,29.26,23.33
671,32.00,30.48,29.17,23.33
672,31.91,30.39,29.17,23.33
673,31.91,30.48,29.26,23.33
674,31.91,30.48,29.17,23.33
675,31.91,30.48,29.17,23.33
676,32.00,30.39,29.17,23.33
677,32.00,30.39,29.17,23.33
678,32.00,30.39,29.17,23.33
679,32.00,30.39,29.17,23.33
680,32.00,30.39,29.17,23.33
681,32.00,30.39,29.17,23.33
682,32.00,30.39,29.17,23.33
683,32.00,30.39,29.17,23.33
684,31.91,30.39,29.17,23.33
685,32.00,30.48,29.17,23.33
686,31.91,30.48,29.17,23.24
687,31.91,30.48,29.17,23.33
688,32.00,30.39,29.26,23.33
689,31.91,30.39,29.26,23.33
690,31.91,30.48,29.26,23.33
691,31.91,30.39,29.26,23.33
692,31.91,30.48,29.26,23.33
